id_bairro;id_linha
B003;L29
B003;L37
B003;L45
B003;L57
B006;L02
B006;L03
B006;L04
B006;L12
B006;L15
B006;L20
B006;L22
B006;L25
B006;L29
B006;L30
B006;L36
B006;L37
B006;L38
B006;L42
B006;L45
B006;L46
B006;L48
B006;L52
B006;L53
B006;L59
B006;L61
B006;L65
B017;L67
B083;L57
B098;L55
B099;L55
B121;L55
B126;L57
B130;L57
B130;L69
B150;L15
B150;L25
B150;L49
B151;L45
B151;L50
B151;L51
B151;L58
B158;L03
B162;L53
B162;L65
B165;L46
B167;L44
B175;L44
B180;L49
B180;L51
B180;L67
B184;L48
B186;L24
B190;L67
B191;L24
B191;L42
B195;L67
B196;L67
B209;L43
B209;L55
B214;L24
B214;L42
B214;L44
B214;L46
B214;L52
B220;L46
B220;L57
B221;L24
B221;L45
B222;L44
B222;L63
B224;L13
B224;L37
B226;L07
B226;L25
B226;L44
B226;L48
B226;L50
B227;L07
B227;L25
B227;L44
B227;L48
B227;L50
B231;L12
B231;L51
B232;L13
B232;L50
B232;L52
B232;L57
B244;L15
B245;L02
B246;L46
B255;L42
B256;L24
B256;L46
B256;L49
B256;L53
B256;L59
B263;L03
B263;L15
B263;L24
B263;L25
B263;L44
B263;L45
B263;L46
B263;L53
B263;L65
B264;L51
B264;L68
B280;L44
B282;L51
B294;L03
B294;L04
B294;L07
B294;L12
B294;L24
B294;L29
B294;L30
B294;L37
B294;L42
B294;L44
B294;L45
B294;L46
B294;L48
B294;L49
B294;L51
B294;L52
B294;L53
B294;L59
B294;L67
B300;L51
B306;L55
B306;L69
B336;L35
B337;L35
B348;L42
B358;L52
B360;L02
B361;L02
B384;L03
B385;L03
B391;L52
B393;L55
B393;L69
B406;L67
B415;L44
B415;L63
B415;L65
B425;L42
B427;L55
B427;L69
B433;L36
B439;L13
B439;L25
B439;L30
B439;L37
B439;L45
B439;L49
B439;L50
B439;L57
B439;L68
B445;L36
B447;L01
B447;L44
B447;L58
B447;L59
B449;L42
B450;L02
B450;L13
B450;L25
B450;L35
B450;L37
B450;L43
B450;L48
B450;L49
B450;L50
B450;L51
B450;L52
B450;L55
B450;L58
B450;L65
B450;L67
B452;L58
B454;L44
B467;L24
B467;L46
B467;L53
B467;L65
B468;L15
B468;L24
B468;L25
B468;L44
B468;L46
B468;L53
B468;L57
B468;L63
B468;L65
B468;L69
B471;L46
B472;L03
B472;L25
B472;L45
B472;L46
B472;L57
B472;L63
B472;L65
B472;L69
B473;L03
B473;L15
B473;L25
B473;L45
B473;L46
B473;L57
B473;L65
B484;L55
B484;L69
B485;L55
B485;L69
B486;L55
B486;L69
